,PR,TR,포트배당수익률(%)
2021-04-02,4316.669462386808,4911.3512630083305,1.3159432301062655
2021-04-05,4466.146355515736,5081.969924838132,1.3159432301062655
2021-04-06,4497.3617468249395,5117.673888924521,1.3159432301062655
2021-04-07,4487.390979079059,5106.511846706869,1.3159432301062655
2021-04-08,4491.377423212649,5111.232440291211,1.3159432301062655
2021-04-09,4487.194134075411,5106.655794239368,1.3159432301062655
2021-04-12,4499.144083402407,5120.8088724051895,1.3159432301062655
2021-04-13,4502.282124292795,5124.565133056834,1.3159432301062655
2021-04-14,4529.966432967442,5156.2615949754445,1.3159432301062655
2021-04-15,4599.210548720426,5235.2677394472,1.3159432301062655
2021-04-16,4648.648479090957,5291.7334357737545,1.3159432301062655
2021-04-19,4804.294002322205,5469.501767838423,1.3159432301062655
2021-04-20,4846.283535659168,5517.503998139716,1.3159432301062655
2021-04-21,4818.163156559907,5485.686521668854,1.3159432301062655
2021-04-22,4798.281457255734,5463.247175524844,1.3159432301062655
2021-04-23,4839.313222286092,5510.163808628518,1.3159432301062655
2021-04-26,4910.893432316265,5592.271216120047,1.3159432301062655
2021-04-27,4943.636250714688,5629.75986754423,1.3159432301062655
2021-04-28,4698.158897931882,5350.405655105151,1.3159432301062655
2021-04-29,4669.231100633983,5317.6533838533915,1.3159432301062655
2021-04-30,4639.219040907322,5283.663865749929,1.3159432301062655
2021-05-03,4593.848040511856,5232.555776270997,1.3159432301062655
2021-05-04,4676.407998726334,5326.786405079977,1.3159432301062655
2021-05-06,4580.983646565617,5218.466769654617,1.3159432301062655
2021-05-07,4569.739768206833,5205.84576166758,1.3159432301062655
2021-05-10,4570.100529839381,5206.819463011345,1.3159432301062655
2021-05-11,4386.436071566416,4997.7464240892,1.3159432301062655
2021-05-12,4386.547647379916,4998.053615728332,1.3159432301062655
2021-05-13,4262.505280327988,4856.894123081165,1.3159432301062655
2021-05-14,4476.896107113188,5101.364657742421,1.3159432301062655
2021-05-17,4434.473358019461,5053.570648697529,1.3159432301062655
2021-05-18,4586.86109355216,5227.421581670779,1.3159432301062655
2021-05-20,4660.116134753021,5311.28946326995,1.3159432301062655
2021-05-21,4644.061983318841,5293.1827114350635,1.3159432301062655
2021-05-24,4521.901842577309,5154.504784847531,1.3159432301062655
2021-05-25,4582.339759095391,5223.586008700006,1.3159432301062655
2021-05-26,4559.230874049555,5197.430547639496,1.3159432301062655
2021-05-27,4672.301652491387,5326.5208373086625,1.3159432301062655
2021-05-28,4616.027849092532,5262.5571292492905,1.3159432301062655
2021-05-31,4629.630144871088,5278.635070618118,1.3159432301062655
2021-06-01,4610.082900151173,5256.53697309748,1.3159432301062655
2021-06-02,4587.130319163091,5230.554283119704,1.3159432301062655
2021-06-03,4748.745261830438,5415.033591459001,1.3159432301062655
2021-06-04,4698.902688040228,5358.390739505174,1.3159432301062655
2021-06-07,4706.174285885928,5367.262963161905,1.3159432301062655
2021-06-08,4651.917127150138,5305.5753040266245,1.3159432301062655
2021-06-09,4588.608242423897,5233.559203269499,1.3159432301062655
2021-06-10,4618.086270744412,5267.370279207299,1.3159432301062655
2021-06-11,4655.1575816969125,5309.844963777998,1.3159432301062655
2021-06-14,4645.798767836261,5299.742718863138,1.3159432301062655
2021-06-15,4669.216035163963,5326.648111933723,1.3159432301062655
2021-06-16,4667.939771899964,5325.384008052623,1.3159432301062655
2021-06-17,4657.574880099501,5313.750739037879,1.3159432301062655
2021-06-18,4671.42983506802,5329.749646067278,1.3159432301062655
2021-06-21,4569.657179151574,5214.198229240896,1.3159432301062655
2021-06-22,4616.615853007966,5267.970121133141,1.3159432301062655
2021-06-23,4651.729209022996,5308.228830610771,1.3159432301062655
2021-06-24,4671.631629409143,5331.132150305389,1.3159432301062655
2021-06-25,4683.766771767909,5345.172998992972,1.3159432301062655
2021-06-28,4702.499620156957,5367.131206347934,1.3159432301062655
